team,name,nickname,position,createdAt
Athletico-PR,Santos,Santos,Goleiro,2019-07-30
Athletico-PR,Pedro Henrique,Pedro,Zagueiro,2019-07-30
Athletico-PR,Léo Pereira,Léo,Zagueiro,2019-07-30
Athletico-PR,Márcio Azevedo,Márcio,Lateral,2019-07-30
Athletico-PR,Jonathan,Jonny,Lateral,2019-07-30
Athletico-PR,Wellington,Well,Meio Campo,2019-07-30
Athletico-PR,Bruno Guimarães,Bruno,Meio Campo,2019-07-30
Athletico-PR,Bruno Nazário,Nazário,Meio Campo,2019-07-30
Athletico-PR,Nikão,Nikão,Atacante,2019-07-30
Athletico-PR,Marco Ruben,Marco,Atacante,2019-07-30
Athletico-PR,Rony,Rony,Atacante,2019-07-30
Atlético-MG,Cleiton,Cleiton,Goleiro,2019-07-30
Atlético-MG,Patric,Patric,Lateral,2019-07-30
Atlético-MG,Igor Rabello,Igor,Zagueiro,2019-07-30
Atlético-MG,Réver,Réver,Zagueiro,2019-07-30
Atlético-MG,Fábio Santos,Fábio,Lateral,2019-07-30
Atlético-MG,Otero,Otero,Meio Campo,2019-07-30
Atlético-MG,Geuvânio,Geuvânio,Atacante,2019-07-30
Atlético-MG,Elias,Elias,Meio Campo,2019-07-30
Atlético-MG,Chará,Chará,Meio Campo,2019-07-30
Atlético-MG,Alerrandro,Ale,Atacante,2019-07-30
Atlético-MG,Papagaio,Papa,Atacante,2019-07-30
Avaí,Lucas Frigeri,Lucas,Goleiro,2019-08-01
Avaí,Léo,Léo,Lateral,2019-08-01
Avaí,Betão,Betão,Zagueiro,2019-08-01
Avaí,Marquinhos Silva,Marquinhos,Zagueiro,2019-08-01
Avaí,Igor Fernandes,Igor,Lateral,2019-08-01
Avaí,Julinho,Julinho,Meio Campo,2019-08-01
Avaí,Pedro Castro,Pedro,Meio Campo,2019-08-01
Avaí,Richard Franco,Richard,Meio Campo,2019-08-01
Avaí,Lourenço,Lourenço,Meio Campo,2019-08-01
Avaí,Caio Paulista,Caio,Atacante,2019-08-01
Avaí,Bruno Sávio,Bruno,Atacante,2019-08-01
Bahia,Douglas Friedrich,Douglas Friedrich,Goleiro,2019-08-01
Bahia,Ezequiel,Ezequiel,Lateral,2019-08-01
Bahia,Lucas Fonseca,Lucas Fonseca,Zagueiro,2019-08-01
Bahia,Juninho,Juninho,Zagueiro,2019-08-01
Bahia,Moisés,Moisés,Lateral,2019-08-01
Bahia,Gregore,Gregore,Meio Campo,2019-08-01
Bahia,Flávio,Flávio,Meio Campo,2019-08-01
Bahia,Ramires,Ramires,Meio Campo,2019-08-01
Bahia,Shaylon,Shaylon,Meio Campo,2019-08-01
Bahia,Clayton,Clayton,Atacante,2019-08-01
Bahia,Lucca,Lucca,Atacante,2019-08-01
